cpu_usage,memory_usage,disk_usage,disk_read_mbps,disk_write_mbps,network_in_mbps,network_out_mbps,temperature_c,fan_speed_rpm,power_watts,error_count,uptime_hours,disk_io_total,network_io_total,cpu_mem_pressure,temp_error_interaction,uptime_low,uptime_medium,uptime_high,uptime_very_high,temp_trend_slope,cpu_trend_slope,error_count_rolling_avg,temp_delta,error_delta
44.04,31.63,74.08,119.5,103.89,178.34,222.77,54.8,3188.0,270.33,1,3184.6,223.39,401.11,0.13929851999999998,54.8,False,False,True,False,1.4849999999999997,-0.11800000000000775,2.0,2.1299999999999955,-1.0
18.22,41.24,53.34,123.28,59.7,202.87,203.78,55.03,2852.0,285.89,3,5012.0,182.98000000000002,406.65,0.07513928,165.09,False,False,False,True,0.921999999999997,-7.070999999999997,2.2,6.219999999999999,-2.0
60.09,56.79,61.4,133.86,120.52,138.54,197.24,56.9,2290.0,255.84,6,3597.4,254.38,335.78,0.34125110999999997,341.4,False,False,True,False,0.9999999999999922,3.8799999999999963,5.4,-4.960000000000001,0.0
42.79,46.4,66.71,143.19,62.6,206.87,177.47,52.41,2869.0,295.45,3,5115.3,205.79,384.34000000000003,0.1985456,157.23,False,False,False,True,-2.030000000000002,0.2599999999999978,2.6,1.0999999999999943,0.0
43.73,58.59,83.98,149.76,75.29,195.45,195.32,54.93,2664.0,235.01,6,4153.2,225.05,390.77,0.25621407,329.58,False,False,True,False,1.6959999999999984,-0.046999999999997905,4.2,-8.350000000000001,2.0
45.16,46.44,82.19,125.7,112.54,168.86,215.98,52.58,2084.0,260.31,2,4135.3,238.24,384.84000000000003,0.20972303999999997,105.16,False,False,True,False,-0.970000000000006,-1.4190000000000118,2.4,-6.690000000000005,0.0
60.82,40.24,78.45,95.83,100.9,189.43,119.72,61.08,2715.0,239.32,1,4953.9,196.73000000000002,309.15,0.24473968000000001,61.08,False,False,True,False,1.8079999999999918,3.1599999999999966,2.4,25.119999999999997,0.0
40.81,29.49,45.61,134.88,131.86,214.28,145.33,51.55,2847.0,280.85,3,4407.5,266.74,359.61,0.12034869000000001,154.64999999999998,False,False,True,False,-0.28200000000000663,8.478,3.0,3.009999999999998,1.0
42.94,72.35,79.45,113.43,53.99,237.0,149.02,69.49,2715.0,287.46,6,4471.0,167.42000000000002,386.02,0.31067089999999997,416.93999999999994,False,False,True,False,2.320999999999993,-6.1460000000000035,4.0,12.759999999999998,1.0
40.35,30.09,64.29,95.95,111.46,177.57,189.35,63.34,3401.0,263.99,3,4190.1,207.41,366.91999999999996,0.12141315000000001,190.02,False,False,True,False,3.309999999999997,-4.811000000000002,2.2,11.620000000000005,2.0
48.67,41.36,57.61,118.27,73.66,232.22,143.73,52.4,2798.0,279.58,2,2960.7,191.93,375.95,0.20129912,104.8,False,True,False,False,-0.24100000000000515,0.30399999999999777,2.0,-1.3800000000000026,0.0
57.66,45.12,58.44,129.12,104.62,160.71,116.86,50.06,2623.0,275.4,2,3443.9,233.74,277.57,0.26016192,100.12,False,False,True,False,-0.22500000000000078,0.08099999999999269,4.0,-8.54,-5.0
39.65,41.95,71.69,181.89,69.79,160.6,176.18,53.22,2528.0,278.56,5,4021.9,251.68,336.78,0.16633175,266.1,False,False,True,False,1.4679999999999955,-2.0190000000000063,2.4,2.0,3.0
32.11,62.14,80.0,130.5,85.8,207.37,140.62,60.29,3252.0,259.68,2,1799.8,216.3,347.99,0.19953153999999998,120.58,False,True,False,False,1.1939999999999948,-2.1470000000000047,4.2,1.1099999999999994,-4.0
46.81,33.76,45.24,124.15,102.87,156.02,151.8,48.32,2969.0,265.71,1,4609.1,227.02,307.82000000000005,0.15803056,48.32,False,False,True,False,0.8159999999999994,6.263999999999996,1.0,3.1000000000000014,-1.0
62.66,35.4,56.07,172.1,70.33,240.77,177.22,51.37,2665.0,254.89,1,3310.4,242.43,417.99,0.22181639999999997,51.37,False,False,True,False,1.1219999999999948,1.0369999999999946,4.0,-2.8599999999999994,-4.0
39.49,77.87,100.0,103.03,63.39,150.77,92.65,59.77,1978.0,280.85,11,2256.0,166.42000000000002,243.42000000000002,0.30750863000000006,657.47,False,True,False,False,-0.18400000000000125,-5.813000000000005,5.8,-10.419999999999995,6.0
39.7,35.26,51.91,131.8,99.76,225.25,176.26,36.51,2879.0,271.59,1,3661.4,231.56,401.51,0.1399822,36.51,False,False,True,False,-2.881000000000004,-7.013000000000009,2.0,-5.600000000000001,0.0
60.63,61.14,55.82,100.04,45.78,197.2,161.69,70.54,2329.0,253.73,8,2345.3,145.82,358.89,0.37069182000000006,564.32,False,True,False,False,0.6259999999999971,0.9349999999999951,6.4,11.81000000000001,4.0
43.05,45.6,100.0,140.21,71.1,239.14,231.02,48.88,2877.0,271.07,1,2875.4,211.31,470.15999999999997,0.196308,48.88,False,True,False,False,0.08499999999999332,-0.176000000000006,1.8,-7.82,-1.0
71.22,48.59,46.99,113.37,128.87,181.3,178.77,56.47,2505.0,288.93,4,2673.4,242.24,360.07000000000005,0.34605798,225.88,False,True,False,False,-0.5940000000000011,3.8509999999999938,5.4,1.7899999999999991,-1.0
58.87,81.96,41.97,118.51,91.02,219.99,145.59,54.29,3241.0,302.69,2,2356.1,209.53,365.58000000000004,0.48249851999999993,108.58,False,True,False,False,-1.7010000000000036,3.315,3.6,8.339999999999996,-3.0
63.47,58.2,58.5,161.48,63.34,180.19,162.61,59.4,2551.0,280.28,5,3790.8,224.82,342.8,0.3693954000000001,297.0,False,False,True,False,0.7100000000000011,-2.053000000000013,6.0,6.449999999999996,0.0
80.92,69.6,66.15,62.43,67.2,119.87,213.32,61.8,2285.0,260.49,9,2397.9,129.63,333.19,0.5632032,556.1999999999999,False,True,False,False,-3.456000000000002,3.0689999999999986,8.6,7.449999999999996,1.0
34.27,42.23,60.72,169.4,51.12,238.96,184.04,47.09,2398.0,224.1,4,2621.8,220.52,423.0,0.14472221,188.36,False,True,False,False,-0.5230000000000052,-4.239000000000005,1.25,0.7800000000000011,4.0
34.36,69.71,51.65,78.8,77.56,179.92,196.46,66.07,2766.0,293.31,7,4723.9,156.36,376.38,0.23952356,462.48999999999995,False,False,True,False,2.0459999999999945,-0.47400000000000664,5.2,7.459999999999994,-1.0
57.66,96.59,68.98,65.56,89.39,227.79,180.31,63.31,2540.0,277.19,3,2793.5,154.95,408.1,0.55693794,189.93,False,True,False,False,0.9009999999999904,-0.15000000000000663,4.2,7.770000000000003,-3.0
34.14,43.6,90.99,68.66,54.46,167.86,117.61,61.39,2357.0,237.99,6,3691.6,123.12,285.47,0.1488504,368.34000000000003,False,False,True,False,0.20899999999998997,-1.8700000000000057,3.8,18.96,6.0
42.73,26.31,38.82,125.12,61.99,184.91,183.41,50.96,2206.0,244.51,5,3508.0,187.11,368.32,0.11242263,254.8,False,False,True,False,-0.7930000000000126,2.008999999999997,3.75,1.1000000000000014,2.0
67.7,43.7,68.96,129.54,55.66,145.85,119.77,55.41,2769.0,273.02,3,2426.2,185.2,265.62,0.2958490000000001,166.23,False,True,False,False,0.4830000000000008,4.131999999999998,3.2,0.13999999999999346,-1.0
33.21,38.64,41.81,121.65,65.73,190.92,162.3,56.01,2443.0,273.86,7,5124.6,187.38,353.22,0.12832344,392.07,False,False,False,True,0.18099999999999772,0.5039999999999946,3.2,12.269999999999996,5.0
39.85,33.93,50.56,188.19,63.82,238.67,198.54,57.03,3114.0,255.64,2,5003.3,252.01,437.21,0.13521105,114.06,False,False,False,True,3.4769999999999985,3.1679999999999997,1.2,5.380000000000003,0.0
68.97,48.98,65.04,98.15,86.05,236.1,190.56,63.66,2809.0,282.92,3,3615.3,184.2,426.65999999999997,0.33781505999999994,190.98,False,False,True,False,1.7989999999999935,6.721999999999994,4.0,2.309999999999995,-7.0
46.37,44.79,72.26,116.74,62.27,180.15,206.81,47.45,2880.0,222.73,2,3847.8,179.01,386.96000000000004,0.20769122999999998,94.9,False,False,True,False,-1.2010000000000012,-3.7550000000000034,2.8,5.550000000000004,-1.0
31.62,42.0,45.46,122.8,103.84,202.16,179.94,60.87,2509.0,261.71,1,2542.3,226.64,382.1,0.132804,60.87,False,True,False,False,0.8659999999999952,-2.5940000000000056,2.2,13.759999999999998,-1.0
46.24,74.16,85.19,78.85,107.82,240.47,169.56,63.27,3077.0,293.88,7,1565.6,186.67,410.03,0.34291583999999997,442.89000000000004,False,True,False,False,-1.318000000000005,-6.52400000000001,7.8,-3.4699999999999918,0.0
53.87,38.56,70.52,105.34,107.05,136.31,206.96,47.08,3032.0,288.39,0,4602.7,212.39,343.27,0.20772271999999997,0.0,False,False,True,False,1.6299999999999975,4.967999999999997,1.0,-5.469999999999999,-1.0
57.1,49.42,68.47,85.75,80.8,223.93,201.45,55.39,2607.0,294.14,1,5089.7,166.55,425.38,0.28218820000000006,55.39,False,False,False,True,-0.24300000000000416,1.6059999999999963,1.4,-0.17999999999999972,0.0
51.27,32.65,59.61,130.3,110.33,222.2,164.19,39.9,2769.0,270.98,2,3153.9,240.63,386.39,0.16739655000000003,79.8,False,False,True,False,-3.579000000000003,4.136,1.6,-2.5500000000000043,0.0
62.86,38.25,65.28,156.58,58.31,141.39,171.14,57.9,2964.0,286.32,3,4721.7,214.89000000000001,312.53,0.24043950000000003,173.7,False,False,True,False,0.8519999999999966,5.876999999999995,2.6,2.1499999999999986,0.0
54.72,63.4,100.0,82.47,30.58,224.92,162.44,66.03,2316.0,316.2,4,1985.8,113.05,387.36,0.34692480000000003,264.12,False,True,False,False,1.5419999999999923,3.2549999999999994,3.0,18.39,-1.0
37.21,46.71,43.78,119.66,103.84,197.17,151.61,58.45,2341.0,269.66,3,3658.9,223.5,348.78,0.17380791,175.35000000000002,False,False,True,False,-0.32300000000000606,-0.9240000000000042,2.6,10.68,-2.0
31.4,78.88,52.2,110.05,119.16,177.83,125.25,67.12,2632.0,306.65,6,4577.2,229.20999999999998,303.08000000000004,0.2476832,402.72,False,False,True,False,3.980999999999993,-1.0180000000000031,3.6,15.340000000000003,4.0
44.8,48.58,55.65,73.93,108.76,198.06,268.4,47.98,2683.0,271.36,5,3704.0,182.69,466.46,0.21763839999999998,239.89999999999998,False,False,True,False,-0.978000000000004,-5.667000000000003,4.2,-2.990000000000002,3.0
47.34,54.19,42.39,139.43,61.57,145.18,193.95,58.02,2744.0,246.31,3,3240.6,201.0,339.13,0.25653546,174.06,False,False,True,False,6.544999999999999,2.7650000000000032,3.3333333333333335,8.410000000000004,-2.0
70.17,64.77,71.01,106.92,71.99,184.39,105.3,61.98,2590.0,263.49,10,3001.2,178.91,289.69,0.45449108999999993,619.8,False,False,True,False,0.3549999999999977,6.211999999999999,4.8,15.149999999999999,6.0
27.8,35.3,63.58,111.64,78.77,100.26,161.3,49.75,2926.0,305.66,2,2630.5,190.41,261.56,0.098134,99.5,False,True,False,False,-1.0970000000000117,-4.236999999999999,3.2,-5.340000000000003,-2.0
44.06,48.96,69.1,113.11,87.14,234.64,134.46,56.4,2691.0,310.2,1,3507.2,200.25,369.1,0.21571776000000004,56.4,False,False,True,False,-0.7850000000000054,1.9149999999999954,3.2,13.719999999999999,-4.0
31.83,57.13,48.92,129.94,121.99,176.89,125.03,54.26,2855.0,262.4,5,2918.3,251.93,301.91999999999996,0.18184479,271.3,False,True,False,False,0.4589999999999942,-3.905000000000006,4.2,1.2199999999999989,2.0
73.75,34.71,65.63,55.72,62.62,176.64,164.81,58.42,2682.0,318.73,1,5369.0,118.34,341.45,0.25598625,58.42,False,False,False,True,2.127999999999996,3.132999999999999,3.6,7.200000000000003,-2.0
46.84,40.76,75.72,92.06,70.81,129.79,130.62,60.96,2667.0,269.48,5,2798.5,162.87,260.40999999999997,0.19091984,304.8,False,True,False,False,0.3089999999999972,-4.448,3.8,11.600000000000001,4.0
51.79,48.32,80.58,136.29,82.15,217.45,186.83,50.68,2569.0,258.99,3,3282.8,218.44,404.28,0.25024928,152.04,False,False,True,False,0.46299999999999764,-1.9100000000000066,3.8,-3.6300000000000026,-1.0
52.01,14.74,57.36,111.16,92.6,246.76,167.66,56.61,2610.0,308.87,3,2472.3,203.76,414.41999999999996,0.07666274000000001,169.82999999999998,False,True,False,False,1.1189999999999953,0.474999999999998,2.8,-9.420000000000002,-1.0
59.26,26.22,68.98,117.53,98.04,198.96,203.04,55.46,2721.0,245.61,2,3115.1,215.57,402.0,0.15537972,110.92,False,False,True,False,-1.1360000000000074,-2.0630000000000095,3.6,0.5600000000000023,-3.0
38.4,37.44,37.13,95.4,98.29,131.17,130.14,50.16,2452.0,219.57,2,4098.2,193.69,261.30999999999995,0.1437696,100.32,False,False,True,False,2.6729999999999956,1.18499999999999,3.4,-7.380000000000003,-2.0
45.45,47.12,86.38,132.16,89.15,163.54,188.98,67.04,2422.0,267.87,6,2847.9,221.31,352.52,0.21416039999999997,402.24,False,True,False,False,3.6329999999999973,1.4949999999999966,4.2,22.10000000000001,3.0
67.51,42.06,49.06,68.12,95.73,202.25,159.59,54.9,2667.0,277.78,4,3049.2,163.85000000000002,361.84000000000003,0.28394706000000003,219.6,False,False,True,False,-2.4610000000000074,-1.6189999999999984,5.8,-5.719999999999999,-1.0
83.84,71.87,39.67,70.53,107.23,129.46,196.84,66.22,2626.0,273.56,7,1455.4,177.76,326.3,0.60255808,463.53999999999996,False,True,False,False,2.9239999999999924,4.724,7.2,6.890000000000001,-6.0
37.98,59.78,59.56,127.19,109.71,155.36,182.91,51.6,2932.0,249.67,2,2663.3,236.89999999999998,338.27,0.22704444,103.2,False,True,False,False,0.7249999999999953,-5.560000000000007,1.2,3.8400000000000034,2.0
49.04,38.93,83.15,90.34,130.43,170.46,159.9,56.62,2263.0,291.16,5,3928.9,220.77,330.36,0.19091271999999998,283.09999999999997,False,False,True,False,2.313999999999995,-1.7320000000000049,5.2,-8.170000000000009,2.0
40.88,22.3,53.73,139.73,91.46,180.78,193.65,49.87,2687.0,227.71,2,4694.4,231.19,374.43,0.09116240000000002,99.74,False,False,True,False,0.21599999999998526,1.6539999999999966,1.5,-1.7100000000000009,-1.0
80.72,65.44,76.49,116.93,77.74,113.35,162.49,60.58,2178.0,291.05,4,1991.7,194.67000000000002,275.84000000000003,0.52823168,242.32,False,True,False,False,0.39899999999999114,2.530999999999992,4.8,-11.64,-1.0
63.18,51.41,88.65,78.05,75.52,127.42,172.99,50.73,2632.0,254.02,7,1742.5,153.57,300.41,0.32480838,355.10999999999996,False,True,False,False,-1.8650000000000024,2.6739999999999973,4.2,-7.940000000000005,5.0
40.85,40.33,47.6,118.05,102.27,187.48,214.1,47.53,3130.0,273.23,2,3034.8,220.32,401.58,0.16474805,95.06,False,False,True,False,-1.1150000000000009,-4.107000000000009,2.2,0.990000000000002,2.0
68.18,35.96,47.48,157.08,84.89,154.51,121.02,55.6,3147.0,286.6,2,3694.9,241.97000000000003,275.53,0.24517528000000005,111.2,False,False,True,False,0.39000000000001467,7.6350000000000176,3.3333333333333335,-1.0599999999999952,-2.0
83.24,58.8,83.0,76.03,59.09,266.45,73.97,65.39,3040.0,261.47,6,2744.0,135.12,340.41999999999996,0.4894511999999999,392.34000000000003,False,True,False,False,-0.3380000000000079,7.872999999999995,5.6,-1.5100000000000051,1.0
42.26,32.29,51.61,68.76,107.18,178.68,109.98,46.36,2895.0,281.68,5,2976.8,175.94,288.66,0.13645754,231.8,False,True,False,False,-2.5850000000000093,-3.8730000000000118,2.6,0.060000000000002274,3.0
78.42,69.44,63.16,118.49,98.94,161.72,138.36,70.2,3009.0,271.8,11,1889.1,217.43,300.08000000000004,0.54454848,772.2,False,True,False,False,2.202999999999996,2.217000000000001,6.0,15.150000000000006,8.0
58.52,17.28,40.02,112.47,88.16,169.97,168.38,67.24,2813.0,257.44,0,4075.5,200.63,338.35,0.10112256000000001,0.0,False,False,True,False,4.093999999999997,2.8549999999999973,1.6,21.299999999999997,-4.0
58.52,40.02,32.6,146.15,93.27,152.59,110.37,51.9,3333.0,290.01,1,4052.3,239.42000000000002,262.96000000000004,0.23419704000000005,51.9,False,False,True,False,-2.519999999999996,-4.990000000000003,1.0,9.530000000000001,1.0
58.21,27.07,49.6,121.32,121.01,226.83,151.67,53.86,2691.0,253.23,3,3392.6,242.32999999999998,378.5,0.15757447000000002,161.57999999999998,False,False,True,False,-1.8750000000000044,0.637000000000001,2.0,10.93,2.0
23.21,37.32,50.98,115.56,97.52,196.26,189.81,47.49,3701.0,249.44,3,2875.1,213.07999999999998,386.07,0.08661972,142.47,False,True,False,False,0.15399999999999373,-4.106,2.0,3.030000000000001,0.0
55.72,35.42,65.16,58.06,63.89,123.75,164.72,46.53,2709.0,236.17,5,3679.5,121.95,288.47,0.19736024000000002,232.65,False,False,True,False,-2.153000000000003,-1.7569999999999988,3.2,-11.449999999999996,-1.0
50.7,47.09,64.1,126.5,71.38,176.59,171.23,47.13,3017.0,289.03,3,3557.7,197.88,347.82,0.23874630000000002,141.39000000000001,False,False,True,False,-4.863,-0.2950000000000066,2.6,1.6900000000000048,1.0
39.58,23.73,27.21,168.66,147.4,213.96,201.85,47.31,3185.0,227.79,0,3957.7,316.06,415.81,0.09392334,0.0,False,False,True,False,-1.154000000000005,-1.117000000000003,2.4,-0.0899999999999963,-1.0
38.38,79.96,40.9,109.95,117.23,187.15,228.83,44.61,2573.0,255.76,6,3533.0,227.18,415.98,0.30688648,267.65999999999997,False,False,True,False,-2.4670000000000054,1.5489999999999993,4.2,-10.630000000000003,4.0
36.98,68.76,84.17,135.22,100.6,211.21,137.64,51.26,3451.0,245.57,5,3989.1,235.82,348.85,0.25427448,256.3,False,False,True,False,0.17899999999999114,-5.602000000000004,3.4,-8.219999999999999,2.0
65.87,38.75,81.71,112.41,86.92,215.94,116.68,48.15,3082.0,233.9,1,4371.6,199.32999999999998,332.62,0.25524625,48.15,False,False,True,False,-2.719000000000004,-1.4630000000000074,1.2,-2.960000000000001,0.0
65.68,42.23,80.6,175.57,57.91,106.59,103.48,60.15,2120.0,275.7,5,2048.9,233.48,210.07,0.27736664,300.75,False,True,False,False,0.901999999999994,2.1499999999999986,5.2,7.269999999999996,2.0
57.02,53.63,71.41,80.97,84.96,201.51,111.93,57.54,2655.0,286.07,4,4696.5,165.93,313.44,0.30579826000000004,230.16,False,False,True,False,-0.18600000000000583,-2.648000000000006,3.8,5.579999999999998,-1.0
62.15,39.97,83.92,95.09,82.36,123.28,176.56,65.86,3317.0,261.49,1,3551.6,177.45,299.84000000000003,0.24841354999999998,65.86,False,False,True,False,2.921999999999991,3.7969999999999877,2.5,6.140000000000001,-4.0
64.05,77.1,65.47,95.49,72.21,155.33,162.49,61.02,2811.0,313.38,3,3176.2,167.7,317.82000000000005,0.4938254999999999,183.06,False,False,True,False,-0.613000000000004,0.18299999999999245,5.4,2.9299999999999997,-6.0
39.18,56.97,60.68,120.0,144.85,209.78,219.77,52.14,2747.0,239.82,2,3977.3,264.85,429.55,0.22320845999999997,104.28,False,False,True,False,2.4779999999999944,-1.4900000000000035,3.0,-3.549999999999997,0.0
50.77,65.35,72.74,73.61,50.43,187.68,216.56,57.75,2943.0,262.14,2,2729.9,124.03999999999999,404.24,0.33178195,115.5,False,True,False,False,1.2529999999999915,0.8729999999999921,4.6,-2.469999999999999,-6.0
52.88,71.29,71.77,118.58,91.64,45.08,113.02,80.87,2603.0,309.94,8,2494.8,210.22,158.1,0.37698152000000007,646.96,False,True,False,False,2.446999999999999,-4.7120000000000095,7.0,12.75,3.0
92.23,49.76,74.76,73.62,75.67,171.24,194.49,54.75,2163.0,323.6,5,3542.2,149.29000000000002,365.73,0.45893648,273.75,False,False,True,False,0.17499999999999313,3.6749999999999967,5.2,-27.42,-6.0
60.68,59.59,46.1,167.48,144.47,206.35,153.88,44.84,3008.0,261.3,2,4664.9,311.95,360.23,0.36159212,89.68,False,False,True,False,-2.3720000000000083,2.349999999999995,1.6,-7.529999999999994,1.0
44.53,65.73,93.87,67.78,28.31,186.96,130.33,60.28,2673.0,294.02,5,3642.8,96.09,317.29,0.29269569,301.4,False,False,True,False,0.6349999999999952,-3.8760000000000026,4.8,-4.260000000000005,1.0
33.61,57.54,65.94,144.87,82.02,246.79,193.33,62.13,3096.0,244.98,5,3407.5,226.89,440.12,0.19339194,310.65000000000003,False,False,True,False,0.4339999999999935,-0.07900000000000036,3.8,16.21,2.0
89.57,100.0,78.7,56.42,46.65,176.46,218.27,75.04,2695.0,280.45,3,2088.1,103.07,394.73,0.8956999999999999,225.12,False,True,False,False,-3.5750000000000086,10.262999999999995,8.0,6.3300000000000125,-2.0
46.79,45.35,84.88,122.57,109.69,172.79,131.28,49.42,2639.0,291.16,3,2979.7,232.26,304.07,0.21219265,148.26,False,True,False,False,-0.43000000000000066,4.7390000000000025,2.6,-6.5,0.0
81.68,83.53,75.22,57.02,63.7,312.44,129.95,62.13,2361.0,268.55,7,4238.1,120.72,442.39,0.6822730400000001,434.91,False,False,True,False,-0.7519999999999984,1.2319999999999984,5.8,6.710000000000001,-2.0
37.52,16.05,57.0,144.21,63.91,219.18,178.7,58.73,2995.0,297.71,3,4754.7,208.12,397.88,0.060219600000000005,176.19,False,False,True,False,0.6599999999999907,-6.564000000000011,2.2,3.479999999999997,2.0
54.82,48.02,37.12,124.02,76.49,245.79,172.4,45.78,3059.0,242.13,5,4413.2,200.51,418.19,0.26324564,228.9,False,False,True,False,0.6739999999999932,-2.7930000000000077,3.0,-7.109999999999999,3.0
61.56,73.44,64.88,108.93,98.96,107.33,103.28,59.31,2366.0,270.72,5,3775.8,207.89,210.61,0.45209664,296.55,False,False,True,False,0.8229999999999982,1.9969999999999966,4.0,8.39,0.0
62.95,47.18,67.91,21.53,81.76,218.83,181.69,61.72,2797.0,301.93,6,2703.0,103.29,400.52,0.29699810000000004,370.32,False,True,False,False,0.4539999999999956,2.049999999999993,4.8,5.359999999999999,0.0
74.47,79.79,44.8,109.9,77.65,192.56,143.19,69.94,2015.0,285.32,2,4227.7,187.55,335.75,0.59419613,139.88,False,False,True,False,0.7329999999999941,0.822999999999994,4.8,2.5600000000000023,-5.0
46.84,41.63,65.89,92.23,82.52,183.61,238.58,40.4,2468.0,295.29,3,3196.7,174.75,422.19000000000005,0.19499492000000002,121.19999999999999,False,False,True,False,0.6020000000000012,-2.8390000000000066,3.0,-10.170000000000002,-1.0
69.86,75.42,83.73,52.09,88.89,113.06,166.84,74.77,2472.0,249.82,6,3192.4,140.98000000000002,279.9,0.52688412,448.62,False,False,True,False,0.24299999999999103,0.12199999999999357,7.2,4.769999999999996,-3.0
65.19,77.5,51.63,71.69,29.35,94.85,174.93,73.54,2189.0,297.09,10,3173.4,101.03999999999999,269.78,0.5052224999999999,735.4000000000001,False,False,True,False,-3.352000000000001,-0.7100000000000063,8.8,10.490000000000009,1.0
73.59,60.84,100.0,74.35,69.6,206.82,180.79,71.54,2374.0,267.71,5,2149.4,143.95,387.61,0.44772156,357.70000000000005,False,True,False,False,1.453000000000001,-3.3100000000000045,6.8,4.280000000000001,0.0
56.72,34.48,60.91,133.03,52.78,175.12,158.83,35.34,3083.0,279.36,2,3578.1,185.81,333.95000000000005,0.19557056,70.68,False,False,True,False,-5.220000000000006,-0.16900000000000417,4.6,-19.229999999999997,-1.0
64.4,45.24,50.18,112.48,112.97,194.96,173.42,40.35,2416.0,283.45,2,2597.2,225.45,368.38,0.29134560000000004,80.7,False,True,False,False,-4.6200000000000045,31.05999999999999,2.5,-4.619999999999997,-1.0
65.99,25.33,48.47,105.78,80.36,254.16,244.93,48.95,2212.0,262.01,5,2709.0,186.14,499.09000000000003,0.16715266999999998,244.75,False,True,False,False,-1.5870000000000075,-0.7940000000000073,5.2,-15.539999999999992,2.0
84.39,84.6,49.69,79.83,81.78,179.59,119.79,72.79,2330.0,302.93,4,3582.4,161.61,299.38,0.7139394,291.16,False,False,True,False,1.7190000000000019,10.135000000000002,6.2,14.170000000000009,-6.0
57.13,54.49,75.08,107.12,101.57,217.83,91.27,67.56,2162.0,294.93,10,2921.8,208.69,309.1,0.31130137,675.6,False,True,False,False,-0.32200000000000917,-1.073999999999999,7.4,-3.5600000000000023,4.0
37.79,67.62,90.86,69.76,76.14,191.4,213.62,66.64,2742.0,298.42,3,3519.7,145.9,405.02,0.25553598,199.92000000000002,False,False,True,False,2.159999999999996,-7.6170000000000035,2.4,9.86,1.0
